"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"TNNT2",-0.843898191277284,7.93046734566632,-9.37673878107357,1.37827132651866e-14,1.57409159655982e-10,22.5122101370305,"No"
"TPK1",-0.471649734769078,7.83972448378711,-9.34562536854523,1.58814669480887e-14,1.57409159655982e-10,22.3788023602261,"No"
"TOX",-0.6012768554502,9.40383615720787,-8.4826126899721,8.13949383001663e-13,5.37830620641399e-09,18.6668292705795,"No"
"FMN1",-0.76263787681196,8.56691161896077,-8.32369046216849,1.67973064541208e-12,7.69916852402568e-09,17.9825048945627,"No"
"MMD",0.724537524721768,10.3350351307154,8.29184971270821,1.94197864198802e-12,7.69916852402568e-09,17.8454366111114,"No"
"EFNA5",-0.699642779095521,9.67569740763218,-8.10471152533825,4.55232098889804e-12,1.50401098271543e-08,17.0402870880739,"No"
"SEC16B",-0.288922258816624,7.5993383339357,-7.54154247048221,5.84480768888279e-11,1.41109998028982e-07,14.6260193011321,"No"
"P2RX6",-0.368460173884118,7.54873836066851,-7.53810548886876,5.93615221218923e-11,1.41109998028982e-07,14.611344948785,"No"
"KCTD4",0.82053774056432,7.90579610416819,7.51058676620836,6.72066130456464e-11,1.41109998028982e-07,14.49388574468,"No"
"ARHGAP6",0.737761267414322,7.76691800494342,7.49783161179578,7.11849861418464e-11,1.41109998028982e-07,14.4394628221478,"No"
"PHYH",-0.282668664230005,7.75658216655854,-7.41083856071558,1.0533159251491e-10,1.89817105311187e-07,14.0686468217845,"No"
"ADPRHL1",-0.374770049128068,7.6262625089511,-7.3472444096201,1.40202384880544e-10,2.24428941872811e-07,13.7979923490392,"No"
"TADA2A",-0.267117432810711,8.61433343559408,-7.33643250283478,1.47181367318093e-10,2.24428941872811e-07,13.7520146353518,"No"
"CBLN2",-0.887593003810911,9.48385890025674,-7.28437380202137,1.85934863767189e-10,2.63270486032641e-07,13.5307930847535,"No"
"WSCD1",0.316281269055306,7.96423463305862,7.26617048673995,2.01755370845439e-10,2.66626447751276e-07,13.4535022954441,"No"
"RAB3B",0.959268927699249,8.75756315716091,7.23922290469082,2.27664866136503e-10,2.82062540088994e-07,13.3391458765833,"No"
"STAC",0.344189082759145,5.56672515627892,7.14462957875806,3.47693577334021e-10,4.05431163734841e-07,12.9383379185559,"No"
"ALKAL2",0.293474908190872,8.39125034144339,7.1252534910101,3.79148229995734e-10,4.1754752017808e-07,12.8563610923962,"No"
"PTGER3",0.414899207835703,6.54895168771377,7.04965281964634,5.31335260154526e-10,5.54350466423325e-07,12.536929801423,"No"
"IL13RA2",0.801110962261845,5.8721754085272,7.03386299834665,5.70083749838576e-10,5.65038508652505e-07,12.4703013710204,"No"
"H3C1",-0.416721647131657,7.48701068402108,-6.95928142001031,7.94580470599214e-10,7.31638324520801e-07,12.1560158688777,"No"
"SEMA5A",0.547929185212736,9.44694230425765,6.95440756442504,8.11988253012037e-10,7.31638324520801e-07,12.1355026770997,"No"
"LIPH",0.463482947883217,6.19274739945115,6.9209232737138,9.42262596892948e-10,8.12107454704735e-07,11.9946591373887,"No"
"CACNA1H",0.324393876191733,8.2419791794212,6.88841852276071,1.08852274695193e-09,8.99074433867837e-07,11.8580818333005,"No"
"DSEL",0.476385802730455,8.71420220435044,6.87061289526735,1.17797645362969e-09,9.00894443902876e-07,11.7833290673821,"No"
"UBXN10",-0.456067316377926,8.05370316102179,-6.86991639356428,1.18162011509231e-09,9.00894443902876e-07,11.7804058751531,"No"
"BCHE",0.554509095536594,4.93310264706033,6.85141323385097,1.2826210206095e-09,9.416813515386e-07,11.7027740325827,"No"
"FBXL21P",0.571570560259042,5.78257483603614,6.81315439660105,1.51942756988303e-09,1.07570045420683e-06,11.5424117781317,"No"
"PLXDC1",-0.422759463324253,9.27632939157189,-6.79272871150555,1.6631227112134e-09,1.13683039670287e-06,11.4568853427696,"No"
"METTL21C",-0.512492521182853,5.64262535732501,-6.73392992312115,2.15644233949149e-09,1.42490521652466e-06,11.2110347351473,"No"
"GREB1L",0.557667048032132,7.72439977478598,6.72523074781547,2.24082609484989e-09,1.4328998605874e-06,11.1747068315468,"No"
"TMEM200A",0.31085475145562,7.39144930645629,6.71546458276931,2.33946641171508e-09,1.44922633373213e-06,11.1339373091053,"No"
"EPB41",-0.448232608578201,7.73241552549358,-6.7013720619584,2.4894386969158e-09,1.4953982814837e-06,11.0751336961105,"No"
"PNLDC1",-0.405621466739983,6.90408754553984,-6.69030211188375,2.61389704783939e-09,1.5239788582153e-06,11.0289645042558,"No"
"IPO13",0.313520535347166,9.5246455474189,6.64950385886807,3.12821761123898e-09,1.77173307735972e-06,10.858979290787,"No"
"ABHD12B",-0.397608910760205,7.44195763236796,-6.63418303447561,3.34626082646663e-09,1.842581343418e-06,10.7952159330542,"No"
"ONECUT2",-0.291888965519007,7.53271589172479,-6.61625504522638,3.62059717474816e-09,1.92173225025087e-06,10.7206516315452,"No"
"SAMD3",0.61292879640713,5.71372222851576,6.61231003985984,3.68389373503169e-09,1.92173225025087e-06,10.7042512205257,"No"
"POU6F2",-0.519806187359054,8.49991371965813,-6.60593553259216,3.78849644659737e-09,1.92562474515127e-06,10.6777563094759,"No"
